Date,Open,High,Low,Close,Adj Close,Volume
3/1/18,273.299988,273.390015,271.179993,272.880005,250.540192,79213200
3/2/18,270.420013,273.179993,270.200012,272.779999,250.448395,87063500
3/5/18,273.549988,274.23999,272.420013,274.100006,251.660294,66901200
3/6/18,275.700012,278.869995,275.339996,278.869995,256.039795,113625300
3/7/18,279.200012,279.910004,278.079987,278.519989,255.71846,71924800
3/8/18,279.839996,280.410004,276.029999,276.720001,254.065781,91968900
3/9/18,277.809998,278.019989,274.670013,275.299988,252.762039,105895100
3/12/18,275.880005,276.609985,274.429993,275,252.486618,83433000
3/13/18,274.5,275.390015,274.140015,274.200012,252.760422,100343700
3/14/18,273.350006,274.399994,268.619995,270.48999,249.340424,109208400
3/15/18,270.940002,271.670013,270.179993,270.950012,249.764511,59757300
3/16/18,270.899994,273.269989,270.190002,270.429993,249.285156,78709600
3/19/18,267.910004,268.869995,263.359985,263.670013,243.053726,148785900
3/20/18,264.170013,264.540009,257.829987,258.049988,237.873138,183534800
3/21/18,262.130005,265.429993,259.410004,265.109985,244.381149,141956100
3/22/18,266.170013,266.769989,258.839996,260.600006,240.22377,129941400
3/23/18,260.75,262.640015,258.579987,259.829987,239.513962,146452300
3/26/18,261.119995,265.26001,259.839996,263.149994,242.574387,111601600
3/27/18,262.549988,263.130005,254.669998,257.470001,237.338486,186286300
3/28/18,258.869995,261.309998,256.839996,260.769989,240.380463,119956900
3/29/18,256.75,264.359985,256.600006,263.559998,242.952286,123715300
4/2/18,265.549988,266.640015,264.320007,265.640015,244.869736,82652600
4/3/18,263.420013,265.109985,258,259.720001,239.412582,179521200
4/4/18,261.369995,264.839996,259.940002,261,240.592484,105442900
4/5/18,264.269989,266.040009,262.980011,265.149994,244.417999,103529000
4/6/18,263.470001,265.640015,263.390015,263.76001,243.136688,91140200
4/9/18,265.26001,267,265.059998,265.929993,245.137039,68890500
4/10/18,267.410004,267.540009,264.01001,265.149994,244.417999,85079200
4/11/18,267,268.200012,266.070007,267.329987,246.427536,63405300
4/12/18,269.329987,270.869995,268.75,270.190002,249.063965,64682000
4/13/18,270.690002,271.299988,269.869995,270.390015,249.248352,57303900
4/16/18,269.649994,269.880005,267.720001,268.890015,247.86557,77655900
4/17/18,268.809998,269.059998,265.609985,266.609985,245.76384,99953100
4/18/18,267.26001,267.890015,265.350006,266.570007,245.727005,65558000
