Date,AAPL,MSFT,META,GOOG,AMZN
3/7/22,163.360001,288.529999,200.789993,131.904007,145.443497
3/8/22,158.820007,277.799988,187.850006,126.250504,136.683502
3/9/22,161.479996,283.440002,195.740005,131.399994,139.5
3/10/22,160.199997,283.019989,194.839996,131.462494,145.684998
3/11/22,158.929993,287.959991,192.639999,133.999496,149.574493
3/14/22,151.449997,280.339996,187.029999,130.572998,145.981003
3/15/22,150.899994,280.350006,190.800003,127.741501,142.850006
3/16/22,157.050003,289.109985,194.699997,131,148.5
3/17/22,158.610001,293.290009,201.699997,133.320999,152.640503
3/18/22,160.509995,295.369995,206.699997,133.884003,156.813004
3/21/22,163.509995,298.890015,214.5,136.847504,161.121002
3/22/22,165.509995,299.799988,211.369995,136.5,161.805496
3/23/22,167.990005,300.51001,213.330002,139.138504,163.705002
3/24/22,171.059998,299.140015,215,139.272507,163.749496
3/25/22,173.880005,305.230011,220.509995,141.753998,164
3/28/22,172.169998,304.329987,222.130005,140.684494,164.975006
3/29/22,176.690002,313.910004,226.070007,143.160507,170.384003
3/30/22,178.550003,313.76001,228.910004,142.869995,168.509506
3/31/22,177.839996,313.899994,228.449997,142.448502,166.445007
4/1/22,174.029999,309.369995,224.550003,140.009995,164.149506
4/4/22,174.570007,310.089996,225.979996,140.824493,164.125
4/5/22,177.5,313.269989,234.080002,143.399506,167.741501
4/6/22,172.360001,305.190002,226.910004,139.161499,161.650497
4/7/22,171.160004,296.660004,223.929993,136.617996,158.399994
4/8/22,171.779999,300.440002,222.380005,136.25,156.75
4/11/22,168.710007,291.790009,218.419998,132.899994,152.712997
4/12/22,168.020004,289.23999,220.240005,132.423492,153.692505
4/13/22,167.389999,282.730011,211.820007,128.626495,150.018494
4/14/22,170.619995,288.089996,214.889999,130.649506,155.389999
4/18/22,163.919998,278.910004,210,127.410004,151.523499
4/19/22,165.020004,279.380005,210.520004,128.076996,152.029495
4/20/22,168.759995,289.399994,213.610001,131.283997,157.602493
4/21/22,168.910004,288.579987,201.600006,129.350006,154.714005
4/22/22,166.460007,281.679993,190.369995,125,148.25
4/25/22,161.119995,273.290009,182.729996,119.429497,144.022995
4/26/22,162.25,277.5,186.630005,122.75,144.800003
4/27/22,155.910004,282.100006,174.429993,114.373001,140.191498
4/28/22,159.25,285.190002,202.919998,117.114998,142.177994
4/29/22,161.839996,288.609985,204.460007,117.578003,129.848999
5/2/22,156.710007,277.709991,201.169998,113.906502,122.401001
5/3/22,158.149994,283.959991,210.449997,116.764999,124.053497
5/4/22,159.669998,282.589996,210.649994,118.003502,123.599998
5/5/22,163.850006,285.540009,218.740005,120.220497,123
5/6/22,156.009995,274.809998,207.339996,115.518997,114.849998
5/9/22,154.929993,270.059998,199.839996,113.303497,111.3125
5/10/22,155.520004,271.690002,199.509995,116.040497,111.25
5/11/22,153.5,265.679993,196.330002,113.710503,108.1035
5/12/22,142.770004,257.690002,187.059998,111.938004,102.75
5/13/22,144.589996,257.350006,192.580002,114.845497,109.069
5/16/22,145.550003,259.959991,197.050003,115.384003,113.099998
5/17/22,148.860001,266.109985,202.119995,117.227501,113.275002
5/18/22,146.850006,263,200,115.237503,111.439499
5/19/22,139.880005,253.899994,191.199997,111.841003,106.280502
5/20/22,139.089996,257.23999,194.970001,112.085503,109.568497
5/23/22,137.789993,255.490005,195.190002,110.103996,108.460999
5/24/22,140.809998,257.890015,180.550003,106.377502,104.025002
5/25/22,138.429993,258.140015,180.399994,105.141998,103.655502
5/26/22,137.389999,262.269989,182.880005,106.050499,107.970001
5/27/22,145.389999,268.480011,191.360001,109.788498,113.550003
5/31/22,149.070007,272.529999,194.889999,113.079002,116.279999
